Unnamed: 0,id,age,job,marital,education,default,housing,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed
2292,2292,51 years,entrepreneur,divorced,university.degree,no,yes,telephone,may,monday,0.13685978169605373,0.0,0.9999999999999998,1.0,failure,0.33333333333333337,0.21242484969940278,0.05294117647058805,0.14095059704987123,0.4120328167730172
1536,1536,37 years,management,married,university.degree,no,yes,cellular,aug,tuesday,0.163727959697733,0.09090909090909091,0.9999999999999998,0.0,nonexistent,1.0,0.48847695390782064,0.6470588235294117,1.0000000000000002,1.0
4047,4047,38 years,blue-collar,married,basic.4y,unknown,no,telephone,jun,wednesday,0.02267002518891688,0.09090909090909091,0.9999999999999998,0.0,nonexistent,1.0,1.0,0.31176470588235317,0.9978927651603839,1.0
3862,3862,52 years,technician,married,professional.course,no,yes,cellular,nov,friday,0.3585222502099076,0.0,0.0,1.0,success,0.0,0.09018036072144753,0.9999999999999998,0.003980332474830234,0.04010938924339058
1340,1340,32 years,admin.,married,university.degree,no,yes,cellular,aug,wednesday,0.3022670025188917,0.2727272727272727,0.9999999999999998,0.0,nonexistent,1.0,0.48847695390782064,0.6470588235294117,0.999063451182393,1.0
3686,3686,45 years,technician,married,basic.9y,unknown,no,-,nov,friday,0.08900083963056254,0.0,0.9999999999999998,0.0,nonexistent,0.6875,0.3662324649298654,0.2999999999999998,0.7782720674315149,0.8527803099361897
1565,1565,38 years,admin.,single,university.degree,no,yes,telephone,jul,monday,0.10663308144416456,0.09090909090909091,0.9999999999999998,0.0,nonexistent,0.10416666666666674,0.0,0.7941176470588234,0.05080777335518616,0.3076572470373726
3186,3186,54 years,admin.,married,high.school,unknown,yes,telephone,jun,monday,0.3543240973971452,0.9999999999999999,0.9999999999999998,0.0,nonexistent,1.0,1.0,0.31176470588235317,0.9758838679466169,1.0
3588,3588,30 years,admin.,divorced,university.degree,no,no,cellular,nov,tuesday,0.10915197313182198,0.0,0.9999999999999998,0.0,nonexistent,0.6875,0.3662324649298654,0.2999999999999998,0.8091781784125498,0.8527803099361897
3441,3441,41 years,admin.,divorced,high.school,no,no,telephone,may,monday,0.09151973131821997,0.2727272727272727,0.9999999999999998,0.0,nonexistent,0.9375,0.7640280561122239,0.6294117647058823,0.9740107703114027,0.8309024612579741
3111,3111,31 years,self-employed,divorced,university.degree,no,unknown,cellular,jul,thusday,0.1628883291351805,0.0,0.9999999999999998,0.0,nonexistent,1.0,0.7259519038076192,0.2588235294117647,0.9976586279559825,1.0
2410,2410,33 years,self-employed,divorced,basic.9y,no,yes,telephone,may,tuesday,0.24097397145256086,0.0,0.9999999999999998,0.0,nonexistent,0.9375,0.7640280561122239,0.6294117647058823,0.9737766331070008,0.8309024612579741
2799,2799,46 years,services,married,high.school,no,no,cellular,jul,thusday,0.02015113350125944,0.0,0.9999999999999998,0.0,nonexistent,1.0,0.7259519038076192,0.2588235294117647,1.0000000000000002,1.0
1343,1343,43 years,management,divorced,high.school,no,yes,cellular,nov,monday,0.35264483627204024,0.09090909090909091,0.9999999999999998,0.0,nonexistent,0.6875,0.3662324649298654,0.2999999999999998,0.8180753921798174,0.8527803099361897
3437,3437,35 years,blue-collar,married,basic.9y,no,no,cellular,jul,wednesday,0.9999999999999999,0.4545454545454545,0.9999999999999998,0.0,nonexistent,1.0,0.7259519038076192,0.2588235294117647,0.9988293139779914,1.0
3948,3948,54 years,blue-collar,married,basic.6y,unknown,no,-,nov,wednesday,0.19479429051217464,0.36363636363636365,0.9999999999999998,1.0,failure,0.6875,0.3662324649298654,0.2999999999999998,0.8014516506672911,0.8527803099361897
257,257,57 years,blue-collar,married,unknown,unknown,yes,telephone,may,tuesday,0.34005037783375314,0.09090909090909091,0.9999999999999998,0.0,nonexistent,0.9375,0.7640280561122239,0.6294117647058823,0.9737766331070008,0.8309024612579741
2156,2156,51 years,technician,divorced,high.school,no,yes,cellular,nov,monday,0.01091519731318219,0.0,0.9999999999999998,0.0,nonexistent,0.6875,0.3662324649298654,0.2999999999999998,0.8180753921798174,0.8527803099361897
1125,1125,31 years,management,single,university.degree,no,yes,cellular,may,thusday,0.08144416456759027,0.09090909090909091,0.9999999999999998,0.0,nonexistent,0.33333333333333337,0.21242484969940278,0.05294117647058805,0.1332240693046125,0.4120328167730172
541,541,30 years,technician,single,university.degree,unknown,yes,cellular,aug,thusday,0.029387069689336687,0.09090909090909091,0.9999999999999998,0.0,nonexistent,1.0,0.48847695390782064,0.6470588235294117,1.0000000000000002,1.0
3103,3103,37 years,technician,married,professional.course,unknown,yes,telephone,may,friday,0.11083123425692695,0.1818181818181818,0.9999999999999998,0.0,nonexistent,0.9375,0.7640280561122239,0.6294117647058823,0.9735424959025991,0.8309024612579741
1550,1550,36 years,blue-collar,married,high.school,no,no,-,may,monday,0.18303946263643997,0.0,0.9999999999999998,0.0,nonexistent,0.9375,0.7640280561122239,0.6294117647058823,0.9740107703114027,0.8309024612579741
1926,1926,49 years,blue-collar,married,basic.9y,no,no,telephone,may,tuesday,0.10999160369437447,0.2727272727272727,0.9999999999999998,0.0,nonexistent,0.9375,0.7640280561122239,0.6294117647058823,0.9737766331070008,0.8309024612579741
2729,2729,47 years,technician,single,university.degree,no,no,cellular,apr,friday,0.039462636439966406,0.09090909090909091,0.9999999999999998,0.0,nonexistent,0.33333333333333337,0.3036072144288582,0.0,0.16576914071645987,0.4120328167730172
1503,1503,47 years,technician,divorced,high.school,no,yes,cellular,jul,thusday,0.19731318219983204,0.1818181818181818,0.9999999999999998,0.0,nonexistent,1.0,0.7259519038076192,0.2588235294117647,0.9985951767735894,1.0
2112,2112,27 years,technician,married,university.degree,no,yes,cellular,may,friday,0.052896725440806036,0.1818181818181818,0.9999999999999998,0.0,nonexistent,0.33333333333333337,0.21242484969940278,0.05294117647058805,0.12947787403418404,0.4120328167730172
4026,4026,26 years,admin.,single,high.school,no,yes,cellular,jul,wednesday,0.5037783375314862,0.0,0.9999999999999998,0.0,nonexistent,1.0,0.7259519038076192,0.2588235294117647,0.9985951767735894,1.0
3338,3338,52 years,self-employed,single,professional.course,no,no,cellular,nov,wednesday,0.05961376994122586,0.0,0.9999999999999998,0.0,nonexistent,0.6875,0.3662324649298654,0.2999999999999998,0.7911496136736127,0.8527803099361897
2619,2619,30 years,blue-collar,married,basic.9y,no,yes,-,jul,wednesday,0.126784214945424,0.0,0.9999999999999998,0.0,nonexistent,1.0,0.7259519038076192,0.2588235294117647,0.9985951767735894,1.0
3637,3637,36 years,admin.,married,university.degree,no,yes,cellular,may,tuesday,0.10747271200671704,0.0,0.9999999999999998,0.0,nonexistent,0.33333333333333337,0.7049098196392833,0.41764705882352926,0.0,0.0
1034,1034,31 years,management,married,basic.9y,no,no,telephone,may,wednesday,0.07808564231738035,0.09090909090909091,0.9999999999999998,0.0,nonexistent,0.9375,0.7640280561122239,0.6294117647058823,0.9742449075158044,0.8309024612579741
3321,3321,41 years,blue-collar,divorced,basic.6y,no,yes,telephone,may,friday,0.07724601175482787,0.09090909090909091,0.9999999999999998,0.0,nonexistent,0.9375,0.7640280561122239,0.6294117647058823,0.9740107703114027,0.8309024612579741
